tract_name,tract_number,total_population,noHighSchool,someHighSchool,highSchoolGraduate,someCollege,associates,bachelors,graduate
Census Tract 68.01,68.01,1930,20,22,299,153,80,536,820
Census Tract 67,67,3766,21,54,161,110,98,1270,2052
Census Tract 66,66,1677,0,0,12,106,24,492,1043
Census Tract 65,65,2394,17,0,118,217,60,1081,901
Census Tract 64,64,1790,97,367,419,187,34,490,196
Census Tract 59,59,1732,52,99,111,188,35,809,438
Census Tract 58.02,58.02,1715,0,0,9,105,65,533,1003
Census Tract 58.01,58.01,1836,146,57,223,85,77,487,761
Census Tract 56.02,56.02,2437,40,0,60,64,23,635,1615
Census Tract 56.01,56.01,1660,0,0,0,140,0,522,998
Census Tract 55.03,55.03,1838,0,0,0,0,0,410,1428
Census Tract 55.02,55.02,2186,17,34,65,189,77,497,1307
Census Tract 55.01,55.01,1457,32,0,30,73,29,315,978
Census Tract 53.03,53.03,2489,0,0,56,126,0,858,1449
Census Tract 53.02,53.02,2298,0,0,27,66,4,953,1248
Census Tract 52.03,52.03,2714,0,0,108,616,29,794,1167
Census Tract 52.02,52.02,2691,0,18,250,80,0,824,1519
Census Tract 50.04,50.04,2943,215,129,427,156,0,926,1090
Census Tract 50.03,50.03,1353,21,11,4,86,0,334,897
Census Tract 50.01,50.01,1857,63,34,92,52,17,755,844
Census Tract 49.02,49.02,2987,36,74,258,142,145,1000,1332
Census Tract 49.01,49.01,2801,41,99,307,221,96,1106,931
Census Tract 48.02,48.02,2784,179,169,300,349,48,590,1149
Census Tract 48.01,48.01,2508,46,111,355,164,18,906,908
Census Tract 47.04,47.04,826,10,91,430,205,0,1,89
Census Tract 47.03,47.03,2510,258,138,542,31,41,558,942
Census Tract 47.02,47.02,3340,52,232,211,136,77,1067,1565
Census Tract 46,46,2473,49,70,425,260,65,636,968
Census Tract 44.02,44.02,1956,0,78,438,108,78,461,793
Census Tract 44.01,44.01,2792,96,25,41,25,16,928,1661
Census Tract 43,43,3428,52,81,170,201,0,1186,1738
Census Tract 42.02,42.02,2270,0,2,33,49,10,1143,1033
Census Tract 42.01,42.01,3146,46,26,52,128,0,1641,1253
Census Tract 41,41,2057,0,42,45,56,39,593,1282
Census Tract 40.02,40.02,3075,0,0,45,112,80,1156,1682
Census Tract 40.01,40.01,4104,12,27,12,128,69,1733,2123
Census Tract 39.02,39.02,1721,0,96,111,89,16,526,883
Census Tract 39.01,39.01,2246,60,41,45,103,0,532,1465
Census Tract 38.02,38.02,2742,34,93,159,177,14,1092,1173
Census Tract 38.01,38.01,1465,0,0,0,71,0,538,856
Census Tract 37.02,37.02,1758,18,142,545,142,0,577,334
Census Tract 37.01,37.01,1779,41,84,55,143,12,355,1089
Census Tract 36,36,4132,143,230,533,116,28,1310,1772
Census Tract 35,35,2400,92,79,333,270,20,607,999
Census Tract 34,34,2318,89,102,216,324,146,635,806
Census Tract 33.02,33.02,1743,18,16,36,133,58,826,656
Census Tract 33.01,33.01,3600,121,58,278,158,52,1331,1602
Census Tract 32,32,3755,450,396,732,452,55,659,1011
Census Tract 31,31,3090,137,143,254,234,78,795,1449
Census Tract 30,30,2928,128,178,536,175,42,813,1056
Census Tract 29,29,3531,224,181,352,295,121,1052,1306
Census Tract 28.02,28.02,4157,407,235,607,291,26,1081,1510
Census Tract 28.01,28.01,3074,207,116,520,241,66,911,1013
Census Tract 27.04,27.04,2898,309,58,133,641,59,614,1084
Census Tract 27.03,27.03,2026,154,91,145,195,6,537,898
Census Tract 27.02,27.02,4835,292,392,511,188,16,1344,2092
Census Tract 26,26,2235,8,25,177,180,16,771,1058
Census Tract 25.04,25.04,3050,566,180,646,267,20,481,890
Census Tract 25.03,25.03,2798,218,270,282,287,115,907,719
Census Tract 25.01,25.01,2365,240,201,349,592,64,348,571
Census Tract 24,24,3421,674,101,409,365,133,815,924
Census Tract 23.02,23.02,1359,32,59,177,206,11,329,545
Census Tract 23.01,23.01,2542,87,79,347,379,88,566,996
Census Tract 22.02,22.02,1948,68,92,405,433,35,526,389
Census Tract 22.01,22.01,2599,294,48,465,459,55,754,524
Census Tract 21.02,21.02,4263,231,376,742,826,115,1074,899
Census Tract 21.01,21.01,3999,241,277,958,516,134,919,954
Census Tract 20.02,20.02,2955,29,80,390,482,101,905,968
Census Tract 20.01,20.01,2392,379,449,458,283,49,351,423
Census Tract 19.02,19.02,1819,118,54,283,452,65,393,454
Census Tract 19.01,19.01,2932,105,64,449,878,88,656,692
Census Tract 18.04,18.04,4177,378,273,1286,602,197,829,612
Census Tract 18.03,18.03,2995,360,264,710,584,69,489,519
Census Tract 17.02,17.02,2881,30,57,301,459,107,636,1291
Census Tract 16,16,3540,87,90,136,365,193,797,1872
Census Tract 15,15,4123,266,63,106,153,56,959,2520
Census Tract 14.02,14.02,2571,0,99,126,188,59,785,1314
Census Tract 14.01,14.01,2558,40,20,33,123,29,710,1603
Census Tract 13.04,13.04,3985,0,0,0,243,202,1330,2210
Census Tract 13.03,13.03,2918,0,53,84,136,46,1069,1530
Census Tract 13.01,13.01,3508,0,33,53,339,0,1096,1987
Census Tract 12,12,4028,60,2,111,340,40,1211,2264
Census Tract 11,11,3631,2,31,123,245,15,1158,2057
Census Tract 10.04,10.04,2891,28,1,153,186,0,641,1882
Census Tract 10.03,10.03,2092,0,4,176,127,8,326,1451
Census Tract 10.02,10.02,2505,51,56,33,69,0,882,1414
Census Tract 9.04,9.04,2225,10,27,69,122,24,552,1421
Census Tract 9.03,9.03,763,0,0,28,28,14,143,550
Census Tract 9.02,9.02,1674,23,21,117,37,14,483,979
Census Tract 8.04,8.04,2307,0,0,125,99,44,874,1165
Census Tract 8.03,8.03,1755,0,0,66,40,0,502,1147
Census Tract 8.02,8.02,2740,7,0,59,198,42,882,1552
Census Tract 7.04,7.04,2013,49,0,36,109,64,341,1414
Census Tract 7.03,7.03,2869,23,20,372,75,0,809,1570
Census Tract 7.02,7.02,2708,12,99,128,294,13,649,1513
Census Tract 6,6,3638,87,114,173,270,0,1123,1871
Census Tract 5.02,5.02,2766,8,19,121,160,24,672,1762
Census Tract 5.01,5.01,2934,1,36,39,134,75,1119,1530
Census Tract 4,4,1171,92,0,39,47,14,269,710
Census Tract 3,3,4381,0,4,160,162,51,1549,2455
Census Tract 2.02,2.02,2954,15,0,53,260,29,817,1780
Census Tract 2.01,2.01,87,0,0,6,0,7,24,50
Census Tract 1.02,1.02,2912,52,0,100,112,0,1114,1534
Census Tract 1.01,1.01,1086,23,0,36,52,0,531,444
